benchmark,method,budget,seed,best_capability,hypervolume,hypervolume_regret,eps_pareto_hit,evals_to_threshold,auc_best_capability
pubmedqa,enss,12,9,0.54,0.3924255093053676,0.030492665175684497,0,,0.5341666666666667
pubmedqa,enss,12,10,0.59,0.4229181744810521,0.0,1,12,0.5625000000000001
pubmedqa,enss,12,11,0.58,0.41741005714532636,0.00550811733572576,1,7,0.5583333333333333
pubmedqa,enss,12,12,0.59,0.418458152316083,0.004460022164969102,1,9,0.5499999999999999
pubmedqa,enss,12,13,0.54,0.3922817269878434,0.030636447493208707,0,,0.54
pubmedqa,enss,12,14,0.59,0.4229181744810521,0.0,1,2,0.5816666666666666
pubmedqa,enss,12,15,0.59,0.4081178830977568,0.014800291383295305,1,4,0.5725
pubmedqa,enss,12,16,0.56,0.4072123192841084,0.01570585519694373,0,,0.5400000000000001
pubmedqa,enss,12,17,0.59,0.41349689488617813,0.009421279594873988,1,8,0.5541666666666666
pubmedqa,enss,12,18,0.59,0.4142324236380667,0.008685750842985396,1,11,0.5483333333333333
pubmedqa,enss,12,19,0.59,0.41840854992636756,0.004509624554684566,1,7,0.5616666666666666
pubmedqa,enss,24,0,0.56,0.4072123192841084,0.01570585519694373,0,,0.525416666666667
pubmedqa,enss,24,1,0.58,0.41741005714532636,0.00550811733572576,1,18,0.5633333333333336
pubmedqa,enss,24,2,0.58,0.41741005714532636,0.00550811733572576,1,4,0.5741666666666667
pubmedqa,enss,24,3,0.59,0.4186515370233227,0.0042666374577294275,1,21,0.5345833333333333
pubmedqa,enss,24,4,0.59,0.4229181744810521,0.0,1,16,0.5687500000000001
pubmedqa,enss,24,5,0.59,0.4229181744810521,0.0,1,12,0.5670833333333333
pubmedqa,enss,24,6,0.58,0.41741005714532636,0.00550811733572576,1,11,0.5716666666666668
pubmedqa,enss,24,7,0.56,0.4072123192841084,0.01570585519694373,0,,0.5425000000000003
pubmedqa,enss,24,8,0.58,0.41741005714532636,0.00550811733572576,1,22,0.5475
pubmedqa,enss,24,9,0.56,0.4072123192841084,0.01570585519694373,0,,0.5387499999999998
pubmedqa,enss,24,10,0.56,0.4072123192841084,0.01570585519694373,0,,0.5600000000000004
pubmedqa,enss,24,11,0.58,0.41741005714532636,0.00550811733572576,1,7,0.5691666666666667
pubmedqa,enss,24,12,0.59,0.418458152316083,0.004460022164969102,1,9,0.57
pubmedqa,enss,24,13,0.59,0.4229181744810521,0.0,1,20,0.5554166666666668
pubmedqa,enss,24,14,0.59,0.4229181744810521,0.0,1,2,0.5858333333333332
pubmedqa,enss,24,15,0.59,0.418458152316083,0.004460022164969102,1,4,0.5812499999999999
pubmedqa,enss,24,16,0.58,0.41741005714532636,0.00550811733572576,1,19,0.5550000000000003
pubmedqa,enss,24,17,0.59,0.41786285420099095,0.005055320280061171,1,8,0.5720833333333333
pubmedqa,enss,24,18,0.59,0.4186515370233227,0.0042666374577294275,1,11,0.5691666666666666
pubmedqa,enss,24,19,0.59,0.4229181744810521,0.0,1,7,0.5758333333333333
pubmedqa,enss,36,0,0.59,0.4229181744810521,0.0,1,35,0.5377777777777779
pubmedqa,enss,36,1,0.59,0.4229181744810521,0.0,1,18,0.5719444444444446
pubmedqa,enss,36,2,0.59,0.4229181744810521,0.0,1,4,0.5794444444444444
pubmedqa,enss,36,3,0.59,0.4229181744810521,0.0,1,21,0.5530555555555554
pubmedqa,enss,36,4,0.59,0.4229181744810521,0.0,1,16,0.5758333333333333
pubmedqa,enss,36,5,0.59,0.4229181744810521,0.0,1,12,0.5747222222222221
pubmedqa,enss,36,6,0.59,0.4229181744810521,0.0,1,11,0.576111111111111
pubmedqa,enss,36,7,0.58,0.41741005714532636,0.00550811733572576,1,34,0.55
pubmedqa,enss,36,8,0.58,0.41741005714532636,0.00550811733572576,1,22,0.558333333333333
pubmedqa,enss,36,9,0.56,0.4072123192841084,0.01570585519694373,0,,0.5458333333333331
pubmedqa,enss,36,10,0.58,0.41741005714532636,0.00550811733572576,1,25,0.5666666666666665
pubmedqa,enss,36,11,0.59,0.4229181744810521,0.0,1,7,0.5755555555555555
pubmedqa,enss,36,12,0.59,0.4229181744810521,0.0,1,9,0.5766666666666667
pubmedqa,enss,36,13,0.59,0.4229181744810521,0.0,1,20,0.5669444444444445
pubmedqa,enss,36,14,0.59,0.4229181744810521,0.0,1,2,0.5872222222222221
pubmedqa,enss,36,15,0.59,0.4229181744810521,0.0,1,4,0.5841666666666666
pubmedqa,enss,36,16,0.58,0.41741005714532636,0.00550811733572576,1,19,0.5633333333333331
pubmedqa,enss,36,17,0.59,0.4229181744810521,0.0,1,8,0.5780555555555555
pubmedqa,enss,36,18,0.59,0.4229181744810521,0.0,1,11,0.576111111111111
pubmedqa,enss,36,19,0.59,0.4229181744810521,0.0,1,7,0.5805555555555555
pubmedqa,enss,48,0,0.59,0.4229181744810521,0.0,1,42,0.5464583333333333
pubmedqa,enss,48,1,0.59,0.4229181744810521,0.0,1,18,0.5764583333333334
pubmedqa,enss,48,2,0.59,0.4229181744810521,0.0,1,4,0.5820833333333333
pubmedqa,enss,48,3,0.59,0.4229181744810521,0.0,1,21,0.5622916666666665
pubmedqa,enss,48,4,0.59,0.4229181744810521,0.0,1,16,0.579375
